id,lat,lng,pano_id,koppen_code,country,land_use,built_fraction_100m,built_fraction_500m,game_selected,environment_visibility,cultural_dominance,irrigated_or_ornamental,headings_reviewed,reviewer,notes
loc_cfc_sy_2Dl6O,58.80627375438358,6.263700917841899,sy_2Dl6OlM10OcdKhZ-TdA,Cfc,Norway,rural,0.0212,0.027366,True,,,,,,
loc_csb_4-KzSV1u,42.17465952943496,-5.192180677360533,4-KzSV1ufOyJiGiYlwmtOA,Csb,Spain,mixed,0.063187,0.024511,True,,,,,,
loc_am_fWygA3bT,9.99606013303364,-84.69850149289523,fWygA3bTM_Ph0ZaWdrBdug,Am,Costa Rica,urban,0.208878,0.103946,True,,,,,,
loc_cwa_cJeGU7ZX,20.41048682905554,106.1538601247701,cJeGU7ZXl5vEqfdnGrbheA,Cwa,Viet Nam,urban,0.060256,0.206284,False,,,,,,
kakadu_jabiru_bush,-12.67062038256714,132.8346490550524,5OSg83X554rSkufc5TzKMg,Aw,Australia,mixed,0.178075,0.093148,True,,,,,,
loc_csa_mPPs_PzQ,41.51920214593708,19.72932785700577,mPPs_PzQI4fJyLbZgQh_jw,Csa,Albania,mixed,0.0697,0.031006,True,,,,,,
loc_aw_KmTjdGGm,16.73683485772776,98.6065797851573,KmTjdGGm5g2FbBrCam7qTA,Aw,Thailand,rural,0.041837,0.043006,True,,,,,,
loc_csa_Em0LcXzX,-31.91930136219352,115.7702172026432,Em0LcXzXfp1dubgirqFnHw,Csa,Australia,urban,0.348288,0.286781,False,,,,,,
loc_dwc_IxqNxgtp,47.47730547249375,101.4363338710488,IxqNxgtpIuOqC22hHtDW1g,Dwc,Mongolia,mixed,0.1664,0.124063,True,,,,,,
loc_cfa_KdujpqYt,41.13603128216549,22.54668761194434,KdujpqYtbd1PeH-kJWu_5g,Cfa,North Macedonia,mixed,0.142588,0.083069,True,,,,,,
loc_csb_qlG7_GlD,-0.3171735860045862,36.00903929028441,qlG7_GlDacYhlPMORR63Kg,Csb,Kenya,rural,0.0,0.024367,True,,,,,,
loc_am_o3bcDHmY,8.41962332418859,-82.41839476421923,o3bcDHmYuOy16S4faircyw,Am,Panama,urban,0.359822,0.301525,True,,,,,,
andalucia_montana_pass,36.62340833980669,-5.30365821771679,5_qF0N6YEaTad6105myXgw,Csa,Spain,rural,0.000414,0.000368,True,,,,,,
loc_bsk_o65G_9yR,39.63270812167215,22.41702297351164,o65G_9yRIdeyd0wgLbxjTg,BSk,Greece,urban,0.439312,0.402748,True,,,,,,
loc_as_SgdNlwes,20.71826697425553,-105.2269812648906,SgdNlwesVHJWQypdoNFHfA,As,Mexico,urban,0.2154,0.160531,False,,,,,,
loc_af_MImQpS0h,-13.03172032668196,-39.0067397537859,MImQpS0hk48N37i_hqTSBQ,Af,Brazil,mixed,0.14545,0.142495,True,,,,,,
loc_cwa_Z_C89fRE,-26.44357197584284,31.22817152653201,Z_C89fREbR92hL7qWKOcXA,Cwa,Eswatini,rural,1.3e-05,0.012558,True,,,,,,
loc_am_VCyQCLmH,0.5771780307111228,34.81902171667484,VCyQCLmHPnBDJPSv5V6AVw,Am,Kenya,mixed,0.077789,0.043878,False,,,,,,
loc_bwk_DPkCqI7H,-38.93328232069675,-68.12685215554582,DPkCqI7HdvEq_pVuKn-A7g,BWk,Argentina,urban,0.34481,0.33986,False,,,,,,
loc_cwc_rS9TMTmZ,-24.22253552324057,-66.31708774952814,rS9TMTmZxbdm-s3VHEcuBA,Cwc,Argentina,mixed,0.154389,0.158971,True,,,,,,
loc_cfb_7JthLQse,51.39747474595148,21.98013824165728,7JthLQseNV4DG5i00iB4vA,Cfb,Poland,mixed,0.173462,0.159813,True,,,,,,
loc_dfa_h-8oMH3M,45.02142270016535,78.35901773591448,h-8oMH3MjVm9bV_F0jqtew,Dfa,Kazakhstan,urban,0.40597,0.386407,False,,,,,,
loc_csa_ZNLoXK2B,38.56398789574546,-121.4854218267739,ZNLoXK2BfiCSUqaK9TrJJw,Csa,United States,urban,0.30121,0.257045,True,,,,,,
loc_csb_r42FFhQQ,-41.13238514100289,-71.30089277247492,r42FFhQQg2ErVlWwvdc7aA,Csb,Argentina,mixed,0.100333,0.168534,True,,,,,,
loc_cwa_8v7XD9hK,27.68882631972474,83.46276336692279,8v7XD9hKtV0UVN3bEqwClA,Cwa,Nepal,urban,0.428862,0.390207,False,,,,,,
loc_dfa_1ScUiaIc,48.02066141139392,37.80632658901689,1ScUiaIclCt7n8GzXMviPg,Dfa,Ukraine,urban,0.225489,0.212573,False,,,,,,
loc_dfc_WFC1ReIs,62.30535286204198,27.17705346011868,WFC1ReIs0wCtilK0KzKePg,Dfc,Finland,mixed,0.14914,0.138819,True,,,,,,
loc_aw_z-hGEqA6,12.1884142239516,105.3295515949388,z-hGEqA6813WAkeSa3DQvQ,Aw,Cambodia,rural,0.004117,0.002108,True,,,,,,
loc_dfc_LBddKxQy,45.82474975196752,7.215897260278205,LBddKxQy8iC3lyGUPjpasg,Dfc,Italy,mixed,0.099113,0.030878,True,,,,,,
loc_csb_cAy6g3sP,41.17396672804573,-2.421765533030898,cAy6g3sPXaMtH2R0CP0jNQ,Csb,Spain,rural,0.0002,0.008316,True,,,,,,
loc_dwa_Czvv7mfz,37.38281428502453,127.2025346041492,Czvv7mfzeC35M2ujQbAhhA,Dwa,Korea,urban,0.226711,0.170675,False,,,,,,
loc_dwb_qXfQjB-9,48.78707882309418,132.9401037837716,qXfQjB-97GyrZai_cz5tnQ,Dwb,Russian Federation,urban,0.36791,0.244085,False,,,,,,
loc_csb_6sTZyUr_,-34.28452622293617,-70.81037221371402,6sTZyUr_ZBpMu9zSwYjpLQ,Csb,Chile,mixed,0.031613,0.10412,True,,,,,,
loc_am_SA46NdIt,16.1050109201174,108.2442461278143,SA46NdItlSRdCUOtss4gHg,Am,Viet Nam,urban,0.33725,0.257721,False,,,,,,
loc_dsc_kvMyMm-c,65.91040666209871,-18.30425924157368,kvMyMm-c6fRTgO08BXeNow,Dsc,Iceland,rural,0.0,0.000785,True,,,,,,
loc_cfb_COcVxzAN,5.035774777106949,-75.48270104626049,COcVxzANZg6sBOm8HmUGjA,Cfb,Colombia,mixed,0.130911,0.146633,True,,,,,,
loc_cfb_T_RPvifc,49.20708794145386,-123.0374900126329,T_RPvifcprl5y01gv-cV4g,Cfb,Canada,mixed,0.1857,0.106393,True,,,,,,
loc_am_PMBJWO29,15.1554343883239,108.7220774257267,PMBJWO29eCXXUKORtMIxUA,Am,Viet Nam,mixed,0.11837,0.096237,False,,,,,,
loc_cfb_fW51CsXa,44.53295642780499,16.77534796385812,fW51CsXarVa4-7a-d2Dwjw,Cfb,Bosnia and Herzegovina,urban,0.31305,0.162405,True,,,,,,
loc_bsh_V0Val3zP,27.59926213903098,76.63484845981392,V0Val3zPmYzKcOB19UGdjA,BSh,India,mixed,0.011775,0.082139,True,,,,,,
loc_dsb_HJFJOC5I,61.57069731081147,-149.442499600875,HJFJOC5Ic29pzFxbTcw84A,Dsb,United States,rural,0.02305,0.023514,True,,,,,,
loc_dfb_tdGR9Hqp,48.91719800469568,21.08094794722851,tdGR9HqpWDffPmI-7Uy6XA,Dfb,Slovakia,mixed,0.144737,0.03254,False,,,,,,
loc_dwa_U-rDnPNt,37.31457508506244,127.8136438765968,U-rDnPNt6MNWo2WuvnGtDQ,Dwa,Korea,mixed,0.0082,0.05163,False,,,,,,
loc_cfb_b_I2VdaL,58.13589796908332,7.958420601187195,b_I2VdaL4BTIMjoTeBTACA,Cfb,Norway,mixed,0.098971,0.153857,True,,,,,,
loc_dsa_Kv2C-tUR,40.77240343960089,73.29874323887391,Kv2C-tURivD7Ft6oM3Lb1Q,Dsa,Kyrgyzstan,urban,0.53995,0.45358,False,,,,,,
loc_cwa_pHDSX4aR,22.29329302455771,114.2042678081103,pHDSX4aRc0FYdTCivaRt7w,Cwa,Hong Kong,urban,0.220488,0.184456,False,,,,,,
loc_cfa_giDpo9DH,38.42264068313665,-82.43361551037951,giDpo9DHIe-Wu2H6CMoSIw,Cfa,United States,urban,0.310425,0.29612,False,,,,,,
loc_dsa_2N4q79OE,38.88802227967587,40.48109500240311,2N4q79OEMtgiFq7fc5791Q,Dsa,Türkiye,rural,0.024222,0.046492,True,,,,,,
loc_cwb_RdKS0wjO,14.96236318871118,-91.10332044041247,RdKS0wjOY-HM2bovNKAJfA,Cwb,Guatemala,mixed,0.128988,0.064406,False,,,,,,
loc_as_cRVoSM3Z,-6.8405641120246,-35.76752080377867,cRVoSM3ZepaishO24l1J6w,As,Brazil,mixed,0.147489,0.066875,False,,,,,,
loc_bwh_4p0etUSb,-22.42801691126749,18.9935515731708,4p0etUSbY8DeZh3nFTmQcg,BWh,Namibia,urban,0.236011,0.257711,True,,,,,,
loc_cwc__JwG1qyk,-15.82691368526007,-70.0357126584191,_JwG1qykfsRTEC8gyXqIbQ,Cwc,Peru,urban,0.329011,0.154171,False,,,,,,
loc_aw_8jqeZwHF,13.67390570787979,102.5642707852582,8jqeZwHFy_WTkbdwqSZ9bQ,Aw,Cambodia,urban,0.376513,0.257393,False,,,,,,
loc_dsa_E0zOmnEG,41.08371363040887,72.35399733804623,E0zOmnEG1GBVNm5MEy4Q_w,Dsa,Kyrgyzstan,rural,0.007075,0.02878,True,,,,,,
loc_cwa_TsWZyUFd,-1.719325656124688,37.3395632261745,TsWZyUFdK2vTnnO0qVQEHQ,Cwa,Kenya,mixed,0.036478,0.056674,True,,,,,,
red_desert_wyoming_hwy,42.01317449499768,-107.9538485483511,ogV6fZurMk-kdMHFhwIAdw,BSk,United States,rural,0.0,0.0,True,,,,,,
loc_bwk_6dzndPb5,43.64136373631292,51.18267767275589,6dzndPb5kurGgg6JlSbz3g,BWk,Kazakhstan,urban,0.207129,0.27151,False,,,,,,
loc_cfb_i-RkptmX,43.30662751161576,-2.381110760545356,i-RkptmXHjI4GJ-lnR51uw,Cfb,Spain,mixed,0.064678,0.058151,True,,,,,,
loc_af_TPfMnVq_,18.25005846753861,-65.98131849560914,TPfMnVq_Gp5ZWt2AKTbxKA,Af,Puerto Rico,urban,0.309244,0.263737,True,,,,,,
loc_bsk_UszPcn21,21.79667529914376,-101.3606800632264,UszPcn21fykWGI6AKCDnlA,BSk,Mexico,mixed,0.121838,0.112321,True,,,,,,
loc_dfb_dGSsIui6,56.34183570575139,27.15928334131018,dGSsIui68W5i4dGBXK7C1A,Dfb,Latvia,mixed,0.055343,0.051017,False,,,,,,
passo_dello_stelvio_italy,46.52862075451429,10.45318592694539,REKWcPo7ZvCjuIdehvdaZg,ET,Italy,mixed,0.056675,0.005861,False,,,,,,
loc_bwh_5A8KfiWm,-24.35348137179361,18.38779416495187,5A8KfiWms0i8qqXxtOPPyQ,BWh,Namibia,mixed,0.134911,0.109363,True,,,,,,
loc_dsb_LlPny-qR,37.83692087057072,34.98309495906211,LlPny-qRzO47TnUxL2eEtw,Dsb,Türkiye,rural,0.0,0.025324,True,,,,,,
loc_as_7dGKBKiV,-4.043692641321139,39.64579972307866,7dGKBKiVZyWaZ90JJ1sW0w,As,Kenya,urban,0.2819,0.327739,False,,,,,,
loc_bsk_5SFPZnX9,46.37770392204528,96.25717894685137,5SFPZnX9pF2_wp31qX8HLw,BSk,Mongolia,urban,0.200925,0.173102,False,,,,,,
loc_dfb_yUGxD8aA,46.81198182156495,-71.1649115914918,yUGxD8aAErEAPjh-dhofnA,Dfb,Canada,urban,0.326612,0.24356,True,,,,,,
loc_cwb_Dmp0pNZp,22.77374473854026,120.7002351619236,Dmp0pNZpsxXUDC_cEu0awg,Cwb,Taiwan,rural,0.0,0.018953,True,,,,,,
loc_dfc_WwGTqxN_,61.24324740710257,73.44977785664952,WwGTqxN_AWTidNQdneG-IQ,Dfc,Russian Federation,mixed,0.154663,0.154812,True,,,,,,
loc_bwk_ldKETrto,-38.92496088259795,-68.01341433003296,ldKETrtoZsyKrslDO0YlEw,BWk,Argentina,mixed,0.082767,0.106729,False,,,,,,
loc_bwh_1cKM71BF,-13.46180725265723,-76.17580388856062,1cKM71BFG1uK9ZmI2L4zTg,BWh,Peru,mixed,0.1635,0.098342,False,,,,,,
loc_cfa_jJ6YKKBn,39.62896646220263,-79.9466696684473,jJ6YKKBndgMAhIHPngoW8w,Cfa,United States,mixed,0.072788,0.189861,True,,,,,,
loc_csa_zFbbaEbZ,41.63398299159427,19.98799871227142,zFbbaEbZTgnzD1WpXEuxXg,Csa,Albania,rural,0.0,0.0,True,,,,,,
loc_aw_uPkeINx_,20.26742957222136,85.8564124466846,uPkeINx_u4l_MrNqWbzl_w,Aw,India,urban,0.362989,0.308286,True,,,,,,
loc_am_3pCFAsjt,18.54509975643947,-69.93109280333519,3pCFAsjtJ2eG51qv5YZDzQ,Am,Dominican Republic,urban,0.396756,0.322587,True,,,,,,
loc_as_UUv_ZiIi,3.008915489027225,-76.48725671307432,UUv_ZiIiUzqIdx6bjRD-mQ,As,Colombia,urban,0.4617,0.395416,True,,,,,,
loc_dfb_PZbDfeZy,47.65867501771521,23.68918923370546,PZbDfeZysEJqAnvln8gk9g,Dfb,Romania,mixed,0.127044,0.157236,True,,,,,,
loc_cfb_4lG2gse3,56.48581326928853,22.09822745388178,4lG2gse3TmvpoBl0h6rraQ,Cfb,Latvia,mixed,0.058144,0.035921,True,,,,,,
loc_am_B3icSJoe,-16.91006298367357,145.7651403775895,B3icSJoe3k7Dj77SiaM-GA,Am,Australia,urban,0.340913,0.2306,True,,,,,,
loc_as_KGwke_C_,12.70862970884394,-15.56231547648967,KGwke_C_v0mNTUz7MhWgqw,As,Senegal,urban,0.4142,0.352281,True,,,,,,
loc_bwh_XTI54LKK,1.748266972896462,40.05679115798376,XTI54LKKqOI83Fe2cNVVjw,BWh,Kenya,urban,0.416633,0.350914,True,,,,,,
loc_cfa_z-Og8sx2,43.29768600295879,-0.4066185526488947,z-Og8sx2S3fNSK4Sg1yI4w,Cfa,France,urban,0.251867,0.183979,True,,,,,,
loc_csb_JKHTULa7,39.8139422416879,34.78833813420508,JKHTULa7FmrEDSHt7NFRyA,Csb,Türkiye,urban,0.212413,0.167752,False,,,,,,
loc_csb_QEHcO5EG,39.36820474065343,33.70618632544095,QEHcO5EGtnbs_mQk9HYbpQ,Csb,Türkiye,mixed,0.0185,0.059505,True,,,,,,
loc_csb_C2h_sQbs,37.78309170974776,-122.4513702282478,C2h_sQbsrrqrYKKJNIEGIA,Csb,United States,urban,0.348187,0.33119,False,,,,,,
loc_csa_xz4JGBDz,37.05297737890469,22.01092917064132,xz4JGBDzqre6WIfD80q_Ww,Csa,Greece,urban,0.296162,0.204504,False,,,,,,
loc_af_PVjYWbtX,10.0255450181996,-84.21448549411346,PVjYWbtXaFuzSsqy5TXCeQ,Af,Costa Rica,urban,0.345078,0.319277,True,,,,,,
loc_cfc_9bhYKiD-,42.57895868304367,1.652989773489029,9bhYKiD-vGeaA3Elz2EHsQ,Cfc,Andorra,mixed,0.117667,0.039177,True,,,,,,
loc_aw_VFcEEObO,7.053188410408312,-2.027616861659157,VFcEEObOsdWkT350piB6AA,Aw,Ghana,rural,0.016656,0.033344,True,,,,,,
loc_dfb_uqt1ulB6,45.71224559083887,-111.068940639693,uqt1ulB6fTBCHXbM99AB6Q,Dfb,United States,mixed,0.18932,0.115476,True,,,,,,
loc_bwh_4XA5Nsam,23.31709570692228,56.61571075183541,4XA5NsamzCrSIBFRC_IDzA,BWh,Oman,urban,0.269462,0.17282,False,,,,,,
loc_cfb_BHxR7wsv,54.31183650488106,-4.545246431324566,BHxR7wsvUUBdeFqUocj-yg,Cfb,Isle of Man,mixed,0.073711,0.036969,True,,,,,,
wales_elad_valley_moor,52.27002508644723,-3.650554513287886,f0wnNdPT2wcKSN9m0_TtCA,Cfb,United Kingdom,rural,0.0,0.0,True,,,,,,
loc_af_Wk8lysI1,0.2980795648201495,34.20839699557045,Wk8lysI1DZO4rHfZ-rm1Mg,Af,Kenya,mixed,0.070156,0.049549,True,,,,,,
loc_bwk_rM6UWc69,-20.07456520208447,-69.2189481117936,rM6UWc69W11nZoq6yfmXMQ,BWk,Chile,rural,0.040962,0.017342,True,,,,,,
loc_csa_aysh2nHS,43.51963741037051,16.54028717479195,aysh2nHS1ls7NMVXwdeu2A,Csa,Croatia,urban,0.25535,0.138848,True,,,,,,
loc_dfb_ata4TG60,53.13989480857931,23.2017433286878,ata4TG60zDDQei8w7ZF1Pg,Dfb,Poland,mixed,0.085157,0.145847,True,,,,,,
loc_cwa_4kQivpiX,-33.26500306734373,-66.33293438375674,4kQivpiXYlXu6qSxcmZYzA,Cwa,Argentina,mixed,0.066375,0.156841,True,,,,,,
loc_cfb_d6sQ32X2,52.39951455473167,-7.911770220689052,d6sQ32X2CnbvxVkemNjTpA,Cfb,Ireland,rural,0.00957,0.013805,True,,,,,,
loc_dfb_ZKLAnqZg,60.18722745603256,9.612513229110844,ZKLAnqZghXTKD2k4Cf8t2g,Dfb,Norway,rural,0.002925,0.014945,True,,,,,,
loc_am_MJ1dGjeO,17.97647840470099,-66.2438191034826,MJ1dGjeO6d7RZcif3TN_Ig,Am,Puerto Rico,urban,0.245875,0.190866,True,,,,,,
loc_aw_fOVwXsBz,-1.805684181925446,-79.5275405514646,fOVwXsBz5LBUS8U_COAbRA,Aw,Ecuador,urban,0.402156,0.323687,True,,,,,,
loc_cfa_JS7qMPeR,24.88792286886176,121.0875741174429,JS7qMPeRk9CUyPfPn-aC4A,Cfa,Taiwan,mixed,0.18295,0.134726,True,,,,,,
loc_cfb_Vy0B5MVd,57.34681276997945,14.10252324573197,Vy0B5MVdJNmI0CT4CvGvAQ,Cfb,Sweden,rural,3.3e-05,0.022262,True,,,,,,
loc_dfb_iGz-wogy,59.39584489582806,24.60219532351253,iGz-wogy-AvADnz3gYGjfw,Dfb,Estonia,urban,0.269633,0.136893,True,,,,,,
loc_cfb_Hhc7rc4W,6.234993793767289,-75.57623505740948,Hhc7rc4WPjzaAHJyFW6t4w,Cfb,Colombia,urban,0.105614,0.213506,True,,,,,,
loc_et_1t6iqSrC,46.91576844296782,12.39720187409762,1t6iqSrC0x843r43cBYk4Q,ET,Austria,rural,0.039688,0.01114,True,,,,,,
loc_aw_PLl99qsn,15.00201549453922,103.1104348998546,PLl99qsnEjlRVwrLyz9byQ,Aw,Thailand,urban,0.39495,0.360724,False,,,,,,
loc_af_VuE4wj8G,6.022506993286253,101.9580116211201,VuE4wj8GAaaQ2psQ7h-t0Q,Af,Thailand,urban,0.337587,0.294869,True,,,,,,
loc_am_6yFQIStB,10.26455962206619,-85.02774970344177,6yFQIStBQxgWhAjPd2a-AQ,Am,Costa Rica,rural,0.021275,0.006723,True,,,,,,
loc_csa_jzGXgDAK,43.76741349056334,7.371012332930576,jzGXgDAKc7ZE6nhcTpzueg,Csa,France,mixed,0.04505,0.051456,True,,,,,,
loc_cfb_1pDTFX8p,49.34708072703167,2.684842920920534,1pDTFX8pAnWDL7cvkhw5bw,Cfb,France,urban,0.2122,0.13126,False,,,,,,
loc_am_P0dJ5dxa,26.13363238997027,-80.20125488419976,P0dJ5dxaqtvyXA7LCN3dWA,Am,United States,urban,0.328537,0.277032,True,,,,,,
loc_et_a0-x3MlA,-18.37982387547436,-66.7094513784296,a0-x3MlAoSY_rQcMzL4jng,ET,Bolivia,rural,0.0,0.0,True,,,,,,
loc_bwh_K7z2qoCu,23.41329656985116,58.09135229908137,K7z2qoCuY5MHAQ2fbN8YWw,BWh,Oman,mixed,0.0716,0.02824,False,,,,,,
loc_aw_fWZ0Xijw,-2.412723221839841,28.95856041425935,fWZ0XijwuBY2VNHkxUgDYA,Aw,Rwanda,mixed,0.074713,0.04254,True,,,,,,
loc_cfb_qgs9d5mV,45.46820054117051,14.85773064984003,qgs9d5mVMjq_KCaLdEynmw,Cfb,Slovenia,rural,0.0332,0.011327,True,,,,,,
loc_bsk_w8pfouVW,24.39836255336631,-104.3212051517352,w8pfouVW8JfIMAt8pextZQ,BSk,Mexico,urban,0.261962,0.237151,True,,,,,,
loc_dwb_joLyf9jh,35.39673748280651,127.6598607587656,joLyf9jhW5FDtWmp84WaZw,Dwb,Korea,mixed,0.081613,0.062407,False,,,,,,
loc_dfc_9vXwIxZE,55.75115401637451,-120.2563659629805,9vXwIxZENQqrBm6KRjturA,Dfc,Canada,urban,0.2631,0.14466,False,,,,,,
loc_csa_fistXsfJ,31.77416091868666,35.30059441936604,fistXsfJoLEI0XOVxx4CaQ,Csa,Palestine,urban,0.299312,0.22111,True,,,,,,
loc_cfc_tJ1ybret,-45.00501207291534,168.788608428779,tJ1ybretFWb8jtytNJnGtg,Cfc,New Zealand,mixed,0.15,0.094156,True,,,,,,
loc_cfb_Y1A23h4Q,-41.14530400453268,174.9952663758426,Y1A23h4QS45ogAWCCPWlQg,Cfb,New Zealand,rural,0.0,0.019211,True,,,,,,
loc_am_3z5zSH8o,3.980670976031962,-73.77456463358203,3z5zSH8os-kwIjuYvw1lZQ,Am,Colombia,mixed,0.063225,0.135378,True,,,,,,
loc_aw_DOg2WWcB,7.086032554617897,4.840403514284563,DOg2WWcBpj48LsC_hCZWGw,Aw,Nigeria,urban,0.28361,0.354123,False,,,,,,
loc_cfc_RqWYDIKw,65.02169301343034,-22.75270411903709,RqWYDIKwDSJ6I7pMB6sKUw,Cfc,Iceland,rural,0.0,2.3e-05,True,,,,,,
loc_cfa_WnieMtiw,35.85672449088055,127.1615497895836,WnieMtiwKclegpvl2KQc1A,Cfa,Korea,mixed,0.02948,0.167314,True,,,,,,
loc_cwa_bY1ufBWk,27.26050995972973,91.1740652367919,bY1ufBWk12UaFCbr4fDywQ,Cwa,Bhutan,mixed,0.054262,0.022332,True,,,,,,
loc_csb_ZsHoPitT,44.58649420724585,9.954757651369825,ZsHoPitTicQ7usRC1tjgcQ,Csb,Italy,rural,0.013612,0.006785,True,,,,,,
loc_bsk_c8xbKN6t,41.16580704166179,72.18879654564279,c8xbKN6t26Xth9ZIwydNfg,BSk,Kyrgyzstan,rural,0.0,0.015518,True,,,,,,
loc_et_do719xhw,46.17163782999278,9.988403678175933,do719xhwNTpP944EMR19eA,ET,Italy,urban,0.288911,0.117184,True,,,,,,
loc_bwk_J1Fhth7t,-28.55096995410664,16.43584908769314,J1Fhth7t9mEohVhaQlAWAQ,BWk,Namibia,urban,0.30135,0.20545,True,,,,,,
loc_aw_m-BvqXKZ,17.82720676144797,102.6820528142653,m-BvqXKZ128Ok3TZVzNm0Q,Aw,Lao People's Democratic Republic,mixed,0.171637,0.10942,True,,,,,,
loc_cfa_yJxIo4BG,-33.44972574333094,151.3620345798922,yJxIo4BGTr8IISbVlVxoTQ,Cfa,Australia,mixed,0.160273,0.10248,True,,,,,,
loc_cwb_laCUonpY,14.83455509871499,-91.09833832049087,laCUonpY8lCCmkXJmEckPw,Cwb,Guatemala,rural,0.018537,0.027486,True,,,,,,
loc_cfa_sMgwgdkE,-20.15365519731123,-40.94495266657213,sMgwgdkE4fxjfSDShQul3w,Cfa,Brazil,mixed,0.131814,0.049765,True,,,,,,
loc_aw_RhiTwum0,12.55171720202826,-16.29197123417438,RhiTwum0QLrDF4P_MTE7ZQ,Aw,Senegal,urban,0.210133,0.131785,True,,,,,,
loc_cfa_kKjmmza4,43.59362084719916,2.107047955400858,kKjmmza4tl8zx7ePrvz4JA,Cfa,France,mixed,0.108287,0.104895,False,,,,,,
loc_dfc_wZCWfBvd,49.32683231833037,20.10268147226431,wZCWfBvd0iL6XCETfol42w,Dfc,Poland,mixed,0.1344,0.049055,True,,,,,,
loc_cwb_k3LDGDu9,27.46239035365499,89.34926093822129,k3LDGDu9haJjLkXwrbU8cg,Cwb,Bhutan,mixed,0.105887,0.040446,True,,,,,,
loc_aw_Ta0OtIwN,-12.48437735462873,130.9821777529355,Ta0OtIwNG4M4exIQ8GXrbg,Aw,Australia,urban,0.260763,0.293309,True,,,,,,
loc_dfb_HN43miYC,43.80159064886744,142.3548359452876,HN43miYCnsOJy-_o3fW3fA,Dfb,Japan,urban,0.424944,0.320817,True,,,,,,
loc_dwc_IHEryF3q,27.50108441254342,89.43950839602692,IHEryF3qcHMIowjr9W-Low,Dwc,Bhutan,rural,0.02205,0.006127,True,,,,,,
borneo_semenggoh_rural,1.404355743497238,110.3215053617324,mFoJ7KJv76ufX90TH3rJ5w,Af,Malaysia (Sarawak),rural,0.047012,0.039973,True,,,,,,
loc_bwh_ayztRPA2,-31.54863254013656,18.34444917103766,ayztRPA2RaRYrnpIaoAN_Q,BWh,South Africa,urban,0.403675,0.19174,False,,,,,,
loc_csa_0jILMAz8,32.04716804344373,35.0474629105067,0jILMAz8-RzKQKqTOjJ03w,Csa,Palestine,rural,0.0,0.034383,True,,,,,,
loc_cwb_a5MDjWon,-0.06422302732786506,37.66269180779452,a5MDjWonFKnoM2UDOLsVjw,Cwb,Kenya,urban,0.287467,0.168543,False,,,,,,
loc_cwa_soYd_nvq,-26.5071056126395,31.38067825116681,soYd_nvq5_6LRoN7r6sWaw,Cwa,Eswatini,urban,0.2555,0.133141,False,,,,,,
loc_aw_Dh2m9SXk,23.31188236322851,120.275241901735,Dh2m9SXkPZ4T4B1ir2kjxA,Aw,Taiwan,mixed,0.128089,0.176291,True,,,,,,
loc_af_2bquwv-d,0.5737132183350785,123.0300682355371,2bquwv-dVByrgIp0T04Dtw,Af,Indonesia,urban,0.230244,0.24307,False,,,,,,
loc_dfc_XIMo0m6k,47.42428010952661,12.83640079761066,XIMo0m6kcAB5CXxrAnQojw,Dfc,Austria,urban,0.231687,0.198537,True,,,,,,
loc_cfb_8toCZhUc,47.44827292695961,8.003566638411863,8toCZhUcj3pAIYUAtWUJRg,Cfb,Switzerland,mixed,0.00135,0.060012,False,,,,,,
